frame,front_knee_angle,rear_knee_angle,hip_angle,torso_lean,left_elbow_angle,right_elbow_angle,body_linearity,entry_angle,streamline_angle,elbow_extension,elbow_lock_angle
10,133.2835693359375,121.06472778320312,28.820302963256836,39.76562178087742,178.41592407226562,166.76988220214844,46.043916778832624,145.7199582412378,99.67149351852284,178.41592407226562,172.59290313720703
11,133.9735565185547,120.99819946289062,28.681684494018555,39.376094650378676,178.08258056640625,166.38624572753906,45.834487680261205,145.5846711343303,99.49043272988847,178.08258056640625,172.23441314697266
12,134.63526916503906,121.00398254394531,28.71464729309082,39.27380095086354,178.07608032226562,166.46826171875,45.67394810667916,145.61733789864635,99.50619432471574,178.07608032226562,172.2721710205078
13,134.4981689453125,121.02433776855469,28.633432388305664,39.28683852414235,179.77529907226562,166.5432586669922,45.63876463364832,145.53988618370158,99.5217151151339,179.77529907226562,173.1592788696289
14,134.52476501464844,121.03330993652344,28.52989959716797,39.230611335582346,179.17337036132812,166.65939331054688,45.61447205564777,145.46224940854788,99.49041887994832,179.17337036132812,172.9163818359375
15,134.58587646484375,121.05595397949219,28.519681930541992,39.24442209698862,179.52108764648438,166.7130584716797,45.55006329419191,145.45952079621722,99.48833187348747,179.52108764648438,173.11707305908203
16,134.78289794921875,121.04496765136719,29.474733352661133,40.23184089439582,176.5337371826172,166.96826171875,46.18869467161119,145.22370540721454,99.43367084313891,176.5337371826172,171.7509994506836
17,134.70692443847656,121.05302429199219,29.708620071411133,40.494610481920546,173.82431030273438,167.07620239257812,46.40897066807276,145.17814889239384,99.41539675131047,173.82431030273438,170.45025634765625
18,135.4703369140625,121.08322143554688,29.89981460571289,40.54387862746182,172.51718139648438,167.0913848876953,46.48491529845556,145.23670033444677,99.41229418955047,172.51718139648438,169.80428314208984
19,135.83114624023438,121.1319580078125,29.22643280029297,39.79232540444944,177.2512664794922,167.10560607910156,46.1665271360524,145.26453094902195,99.42190486538537,177.2512664794922,172.17843627929688
20,135.40708923339844,121.12873840332031,29.703231811523438,40.33836727936905,175.64991760253906,167.1383819580078,46.51258208619782,145.2558711128503,99.46532716905938,175.64991760253906,171.39414978027344
21,135.0608673095703,121.1778564453125,29.197946548461914,39.86772797750913,173.80355834960938,167.14881896972656,46.317890226266734,145.4131451834415,99.55437262925544,173.80355834960938,170.47618865966797
22,135.58413696289062,121.17747497558594,28.927051544189453,39.48274794437937,177.7264404296875,167.15277099609375,45.966022723200524,145.45843060875427,99.55187225617061,177.7264404296875,172.43960571289062
23,135.75970458984375,121.20004272460938,28.873083114624023,39.37429127064598,179.6827850341797,167.17889404296875,45.70683908912139,145.5104559136695,99.553396892837,179.6827850341797,173.43083953857422
24,135.87109375,121.21455383300781,28.87259864807129,39.34084891968623,179.2813262939453,167.2166748046875,45.489267608966294,145.56178312454816,99.55391982487318,179.2813262939453,173.2490005493164
25,136.08128356933594,121.21994018554688,28.93587303161621,39.358127746677624,178.73739624023438,168.19151306152344,45.41504223178664,145.62941649922357,99.59468415993888,178.73739624023438,173.4644546508789
26,136.1758575439453,121.22938537597656,29.9762020111084,40.374214397337134,177.41598510742188,168.12449645996094,45.82949878706186,145.7032088754371,99.62684729464902,177.41598510742188,172.7702407836914
27,136.2676544189453,121.23468017578125,30.298351287841797,40.67235885046915,176.29739379882812,167.58753967285156,46.01494928909653,146.0999180144521,99.7879144630095,176.29739379882812,171.94246673583984
28,136.35305786132812,121.25019836425781,30.429386138916016,40.769099502587046,175.89901733398438,167.31129455566406,46.08984251087928,146.24777310809884,99.84079935199296,175.89901733398438,171.60515594482422
29,136.36529541015625,121.26063537597656,29.725711822509766,40.03605121608497,179.1523895263672,167.58326721191406,45.7751006645005,146.35963351584965,99.8789623783719,179.1523895263672,173.36782836914062
30,136.43429565429688,121.32888793945312,29.335189819335938,39.59739667271844,178.58236694335938,167.69239807128906,45.43213281503869,146.40231077803375,99.8296907102235,178.58236694335938,173.13738250732422
31,136.60775756835938,121.37167358398438,29.15489959716797,39.40219015862745,177.9004669189453,167.79774475097656,45.25565791364577,146.38536738174167,99.81401620218303,177.9004669189453,172.84910583496094
32,136.67132568359375,121.43679809570312,29.072572708129883,39.296955382705846,177.56997680664062,167.86044311523438,45.13941226681526,146.40834089233272,99.78382428490583,177.56997680664062,172.7152099609375
33,137.19544982910156,121.45365905761719,29.9207763671875,40.15048802310643,173.46893310546875,168.13780212402344,45.450526262124875,146.27266283956183,99.75533911877343,173.46893310546875,170.8033676147461
